date,order_count
2023-07-29,105
2023-07-30,93
2023-07-31,127
2023-08-01,118
2023-08-02,108
2023-08-03,103
2023-08-04,129
2023-08-05,108
2023-08-06,107
2023-08-07,91
2023-08-08,122
2023-08-09,113
2023-08-10,126
2023-08-11,111
2023-08-12,97
2023-08-13,122
2023-08-14,93
2023-08-15,107
2023-08-16,103
2023-08-17,109
2023-08-18,113
2023-08-19,121
2023-08-20,100
2023-08-21,92
2023-08-22,118
2023-08-23,124
2023-08-24,110
2023-08-25,116
2023-08-26,110
2023-08-27,114
2023-08-28,111
2023-08-29,102
2023-08-30,106
2023-08-31,124
2023-09-01,98
2023-09-02,116
2023-09-03,125
2023-09-04,116
2023-09-05,100
2023-09-06,107
2023-09-07,109
2023-09-08,122
2023-09-09,107
2023-09-10,118
2023-09-11,99
2023-09-12,118
2023-09-13,117
2023-09-14,121
2023-09-15,104
2023-09-16,118
2023-09-17,99
2023-09-18,123
2023-09-19,113
2023-09-20,100
2023-09-21,103
2023-09-22,113
2023-09-23,102
2023-09-24,113
2023-09-25,104
2023-09-26,117
2023-09-27,107
2023-09-28,105
2023-09-29,108
2023-09-30,109
2023-10-01,104
2023-10-02,104
2023-10-03,130
2023-10-04,117
2023-10-05,120
2023-10-06,97
2023-10-07,103
2023-10-08,124
2023-10-09,123
2023-10-10,109
2023-10-11,105
2023-10-12,110
2023-10-13,105
2023-10-14,128
2023-10-15,112
2023-10-16,121
2023-10-17,96
2023-10-18,121
2023-10-19,113
2023-10-20,130
2023-10-21,113
2023-10-22,121
2023-10-23,114
2023-10-24,108
2023-10-25,105
2023-10-26,106
2023-10-27,109
2023-10-28,102
2023-10-29,113
2023-10-30,105
2023-10-31,108
2023-11-01,114
2023-11-02,119
2023-11-03,107
2023-11-04,121
2023-11-05,106
2023-11-06,121
2023-11-07,109
2023-11-08,124
2023-11-09,118
2023-11-10,118
2023-11-11,106
2023-11-12,95
2023-11-13,112
2023-11-14,111
2023-11-15,123
2023-11-16,101
2023-11-17,120
2023-11-18,128
2023-11-19,101
2023-11-20,97
2023-11-21,114
2023-11-22,95
2023-11-23,125
2023-11-24,117
2023-11-25,105
2023-11-26,113
2023-11-27,114
2023-11-28,113
2023-11-29,95
2023-11-30,115
2023-12-01,108
2023-12-02,119
2023-12-03,107
2023-12-04,107
2023-12-05,120
2023-12-06,106
2023-12-07,128
2023-12-08,111
2023-12-09,95
2023-12-10,109
2023-12-11,102
2023-12-12,122
2023-12-13,98
2023-12-14,92
2023-12-15,112
2023-12-16,110
2023-12-17,104
2023-12-18,116
2023-12-19,104
2023-12-20,97
2023-12-21,106
2023-12-22,100
2023-12-23,113
2023-12-24,115
2023-12-25,123
2023-12-26,96
2023-12-27,112
2023-12-28,103
2023-12-29,102
2023-12-30,93
2023-12-31,112
2024-01-01,119
2024-01-02,129
2024-01-03,127
2024-01-04,109
2024-01-05,111
2024-01-06,127
2024-01-07,127
2024-01-08,120
2024-01-09,136
2024-01-10,129
2024-01-11,122
2024-01-12,122
2024-01-13,136
2024-01-14,122
2024-01-15,119
2024-01-16,112
2024-01-17,138
2024-01-18,117
2024-01-19,108
2024-01-20,121
2024-01-21,125
2024-01-22,115
2024-01-23,118
2024-01-24,133
2024-01-25,126
2024-01-26,133
2024-01-27,120
2024-01-28,112
2024-01-29,131
2024-01-30,128
2024-01-31,133
2024-02-01,130
2024-02-02,119
2024-02-03,125
2024-02-04,112
2024-02-05,126
2024-02-06,112
2024-02-07,135
2024-02-08,117
2024-02-09,121
2024-02-10,120
2024-02-11,124
2024-02-12,119
2024-02-13,103
2024-02-14,116
2024-02-15,122
2024-02-16,112
2024-02-17,116
2024-02-18,126
2024-02-19,116
2024-02-20,130
2024-02-21,118
2024-02-22,121
2024-02-23,121
2024-02-24,125
2024-02-25,112
2024-02-26,120
2024-02-27,132
2024-02-28,131
2024-02-29,135
2024-03-01,113
2024-03-02,109
2024-03-03,127
2024-03-04,117
2024-03-05,116
2024-03-06,132
2024-03-07,110
2024-03-08,123
2024-03-09,133
2024-03-10,129
2024-03-11,114
2024-03-12,131
2024-03-13,125
2024-03-14,133
2024-03-15,115
2024-03-16,128
2024-03-17,106
2024-03-18,121
2024-03-19,109
2024-03-20,114
2024-03-21,111
2024-03-22,119
2024-03-23,118
2024-03-24,105
2024-03-25,118
2024-03-26,122
2024-03-27,121
2024-03-28,111
2024-03-29,130
2024-03-30,138
2024-03-31,125
2024-04-01,117
2024-04-02,126
2024-04-03,124
2024-04-04,105
2024-04-05,116
2024-04-06,113
2024-04-07,125
2024-04-08,129
2024-04-09,120
2024-04-10,105
2024-04-11,132
2024-04-12,123
2024-04-13,117
2024-04-14,128
2024-04-15,128
2024-04-16,126
2024-04-17,127
2024-04-18,129
2024-04-19,118
2024-04-20,114
2024-04-21,104
2024-04-22,113
2024-04-23,116
2024-04-24,120
2024-04-25,128
2024-04-26,110
2024-04-27,115
2024-04-28,125
2024-04-29,114
2024-04-30,124
2024-05-01,109
2024-05-02,121
2024-05-03,119
2024-05-04,117
2024-05-05,113
2024-05-06,116
2024-05-07,111
2024-05-08,121
2024-05-09,117
2024-05-10,112
2024-05-11,135
2024-05-12,127
2024-05-13,120
2024-05-14,119
2024-05-15,119
2024-05-16,133
2024-05-17,115
2024-05-18,108
2024-05-19,121
2024-05-20,115
2024-05-21,134
2024-05-22,132
2024-05-23,125
2024-05-24,115
2024-05-25,129
2024-05-26,114
2024-05-27,120
2024-05-28,120
2024-05-29,127
2024-05-30,135
2024-05-31,124
2024-06-01,121
2024-06-02,110
2024-06-03,125
2024-06-04,113
2024-06-05,121
2024-06-06,111
2024-06-07,121
2024-06-08,120
2024-06-09,119
2024-06-10,125
2024-06-11,102
2024-06-12,118
2024-06-13,109
2024-06-14,111
2024-06-15,120
2024-06-16,111
2024-06-17,124
2024-06-18,106
2024-06-19,125
2024-06-20,105
2024-06-21,134
2024-06-22,123
2024-06-23,122
2024-06-24,126
2024-06-25,112
2024-06-26,138
2024-06-27,130
2024-06-28,105
2024-06-29,116
2024-06-30,115
2024-07-01,109
2024-07-02,131
2024-07-03,120
2024-07-04,109
2024-07-05,121
2024-07-06,119
2024-07-07,108
2024-07-08,107
2024-07-09,115
2024-07-10,120
2024-07-11,127
2024-07-12,131
2024-07-13,126
2024-07-14,117
2024-07-15,127
2024-07-16,115
2024-07-17,113
2024-07-18,120
2024-07-19,126
2024-07-20,128
2024-07-21,121
2024-07-22,108
2024-07-23,111
2024-07-24,118
2024-07-25,123
2024-07-26,110
2024-07-27,119
2024-07-28,111
2024-07-29,119
2024-07-30,120
2024-07-31,122
2024-08-01,115
2024-08-02,107
2024-08-03,121
2024-08-04,116
2024-08-05,137
2024-08-06,102
2024-08-07,132
2024-08-08,121
2024-08-09,110
2024-08-10,118
2024-08-11,124
2024-08-12,131
2024-08-13,112
2024-08-14,108
2024-08-15,140
2024-08-16,124
2024-08-17,109
2024-08-18,120
2024-08-19,132
2024-08-20,125
2024-08-21,125
2024-08-22,110
2024-08-23,126
2024-08-24,127
2024-08-25,114
2024-08-26,127
2024-08-27,132
2024-08-28,120
2024-08-29,121
2024-08-30,111
2024-08-31,116
2024-09-01,125
2024-09-02,125
2024-09-03,129
2024-09-04,126
2024-09-05,121
2024-09-06,126
2024-09-07,113
2024-09-08,118
2024-09-09,114
2024-09-10,120
2024-09-11,125
2024-09-12,124
2024-09-13,135
2024-09-14,111
2024-09-15,129
2024-09-16,107
2024-09-17,131
2024-09-18,127
2024-09-19,121
2024-09-20,133
2024-09-21,127
2024-09-22,128
2024-09-23,131
2024-09-24,136
2024-09-25,133
2024-09-26,105
2024-09-27,123
2024-09-28,109
2024-09-29,117
2024-09-30,129
2024-10-01,113
2024-10-02,112
2024-10-03,125
2024-10-04,120
2024-10-05,122
2024-10-06,107
2024-10-07,128
2024-10-08,111
2024-10-09,132
2024-10-10,125
2024-10-11,123
2024-10-12,109
2024-10-13,101
2024-10-14,107
2024-10-15,109
2024-10-16,125
2024-10-17,116
2024-10-18,116
2024-10-19,126
2024-10-20,122
2024-10-21,119
2024-10-22,128
2024-10-23,113
2024-10-24,123
2024-10-25,122
2024-10-26,117
2024-10-27,117
2024-10-28,124
2024-10-29,115
2024-10-30,115
2024-10-31,119
2024-11-01,131
2024-11-02,120
2024-11-03,121
2024-11-04,119
2024-11-05,131
2024-11-06,132
2024-11-07,111
2024-11-08,109
2024-11-09,126
2024-11-10,120
2024-11-11,133
2024-11-12,111
2024-11-13,130
2024-11-14,123
2024-11-15,128
2024-11-16,134
2024-11-17,123
2024-11-18,133
2024-11-19,106
2024-11-20,125
2024-11-21,129
2024-11-22,120
2024-11-23,109
2024-11-24,123
2024-11-25,119
2024-11-26,110
2024-11-27,122
2024-11-28,137
2024-11-29,121
2024-11-30,118
2024-12-01,107
2024-12-02,131
2024-12-03,108
2024-12-04,118
2024-12-05,119
2024-12-06,114
2024-12-07,114
2024-12-08,122
2024-12-09,117
2024-12-10,108
2024-12-11,128
2024-12-12,116
2024-12-13,115
2024-12-14,131
2024-12-15,130
2024-12-16,127
2024-12-17,130
2024-12-18,123
2024-12-19,118
2024-12-20,112
2024-12-21,109
2024-12-22,103
2024-12-23,126
2024-12-24,113
2024-12-25,120
2024-12-26,126
2024-12-27,120
2024-12-28,115
2024-12-29,102
2024-12-30,112
2024-12-31,0
